date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:39	417/417	---MCZ	200	added ('OK')	text/plain	date:Mon,%2011%20Dec%202023%2005:11:39%20GMT	https://hmi77.wordpress.com/robots.txt		(from )
12:11:40	85418/85418	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202023%2005:11:39%20GMT	https://hmi77.wordpress.com/	D:/HMI/hmi77.wordpress.com/index.html	(from )
12:11:40	4233/4233	---MCZ	200	added ('OK')	text/css	etag:W/5350-1697652288440.3289	https://s1.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1697652279i&cssminify=yes	D:/HMI/s1.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar31b8.css	(from https://hmi77.wordpress.com/)
12:11:40	1456/1456	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2011%20Dec%202023%2005:11:40%20GMT	https://hmi77.wordpress.com/feed/	D:/HMI/hmi77.wordpress.com/feed/index.html	(from https://hmi77.wordpress.com/)
12:11:40	867/867	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22fd53bd36378c76887923b26ef4f3a9dc%22	https://hmi77.wordpress.com/comments/feed/	D:/HMI/hmi77.wordpress.com/comments/feed/index.html	(from https://hmi77.wordpress.com/)
12:11:41	16643/16643	---MCZ	200	added ('OK')	text/css	etag:W/16682-1701461730206.7534	https://s1.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/block-library/blocks/navigation/style.css?m=1701461711i&cssminify=yes	D:/HMI/s1.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/block-library/blocks/navigation/stylead8d.css	(from https://hmi77.wordpress.com/)
12:11:41	18389/18389	---MCZ	200	added ('OK')	text/css	etag:W/18395-1701461728754.5293	https://s1.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/block-library/blocks/cover/style.css?m=1701461711i&cssminify=yes	D:/HMI/s1.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/block-library/blocks/cover/stylead8d.css	(from https://hmi77.wordpress.com/)
12:11:41	10239/10239	---MCZ	200	added ('OK')	text/css	etag:W/10241-1701461728742.5295	https://s1.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/block-library/blocks/social-links/style.css?m=1701461711i&cssminify=yes	D:/HMI/s1.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/block-library/blocks/social-links/stylead8d.css	(from https://hmi77.wordpress.com/)
12:11:41	369/369	---M--	200	added ('OK')	text/css	etag:%226466d6c8-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	D:/HMI/s1.wp.com/_static/indexd02a.html	(from https://hmi77.wordpress.com/)
12:11:42	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684461226194.0437	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	D:/HMI/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://hmi77.wordpress.com/)
12:11:42	6113/6113	---MCZ	200	added ('OK')	application/javascript	etag:W/11978-1684461270251.9597	https://s1.wp.com/wp-content/js/mobile-useragent-info.js?m=1609849039i	D:/HMI/s1.wp.com/wp-content/js/mobile-useragent-info9d5c.js	(from https://hmi77.wordpress.com/)
12:11:43	31137/31137	---MCZ	200	added ('OK')	application/javascript	etag:W/%22656a3ee2-79a1%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/interactivity/index.min.js?m=1701461711i&ver=17.1.4	D:/HMI/s0.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/interactivity/index.min2b52.js	(from https://hmi77.wordpress.com/)
12:11:43	3500/3500	---MCZ	200	added ('OK')	application/javascript	etag:W/%22656a3ee0-dac%22	https://s1.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/block-library/blocks/navigation/view.min.js?m=1701461711i&ver=69d83a912cc13034c89f	D:/HMI/s1.wp.com/wp-content/plugins/gutenberg-core/v17.1.4/build/block-library/blocks/navigation/view.min178d.js	(from https://hmi77.wordpress.com/)
12:11:44	850/850	---MCZ	200	added ('OK')	text/xml	date:Mon,%2011%20Dec%202023%2005:11:44%20GMT	https://hmi77.wordpress.com/xmlrpc.php?rsd	D:/HMI/hmi77.wordpress.com/xmlrpc0db0.php	(from https://hmi77.wordpress.com/)
12:11:44	17453/17453	---MCZ	200	added ('OK')	application/javascript	etag:W/%22655508b4-442d%22	https://s1.wp.com/_static/??/wp-content/js/rlt-proxy.js,/wp-content/mu-plugins/jetpack-plugin/moon/jetpack_vendor/automattic/jetpack-videopress/build/lib/token-bridge.js?m=1700071590j	D:/HMI/s1.wp.com/_static/index2e67.html	(from https://hmi77.wordpress.com/)
12:11:46	10046/10046	---M--	200	added ('OK')	image/png	etag:%226466e5bb-273e%22	https://s2.wp.com/i/webclip.png	D:/HMI/s2.wp.com/i/webclip.png	(from https://hmi77.wordpress.com/)
12:11:47	1356/1356	---MCZ	200	added ('OK')	application/xml	date:Mon,%2011%20Dec%202023%2005:11:46%20GMT	https://hmi77.wordpress.com/osd.xml	D:/HMI/hmi77.wordpress.com/osd.xml	(from https://hmi77.wordpress.com/)
12:11:49	30474/30474	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2002:50:05%20GMT	https://hmi77.files.wordpress.com/2023/12/header2.jpg	D:/HMI/hmi77.files.wordpress.com/2023/12/header2.jpg	(from https://hmi77.wordpress.com/)
12:11:49	78193/78193	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202023%2005:11:47%20GMT	https://hmi77.wordpress.com/tentang/	D:/HMI/hmi77.wordpress.com/tentang/index.html	(from https://hmi77.wordpress.com/)
